,precision,recall,f1-score,support
0,0.9126506024096386,0.9017857142857143,0.907185628742515,336.0
1,0.6071428571428571,0.6375,0.6219512195121951,80.0
accuracy,0.8509615384615384,0.8509615384615384,0.8509615384615384,0.8509615384615384
macro avg,0.7598967297762478,0.7696428571428571,0.764568424127355,416.0
weighted avg,0.8538991129352576,0.8509615384615384,0.8523328577366842,416.0
